Name,MathScore,ReadingScore,WritingScore,Gender,SchoolType
Student_1,68.72700594236812,68.68204092333492,86.49991554949852,Male,Public
Student_2,97.53571532049581,66.64560481157017,59.22559977993558,Male,Private
Student_3,86.59969709057026,58.807695625143005,67.33198471849431,Female,Private
Student_4,79.93292420985183,80.3633335050744,83.16403184289092,Male,Public
Student_5,57.80093202212183,73.83120802543144,74.10446722622399,Female,Private
Student_6,57.79972601681013,93.28504961620018,86.92855193174469,Male,Public
Student_7,52.90418060840997,51.60547902410291,98.06039506114298,Male,Public
Student_8,93.30880728874675,82.19339637775632,55.827334385759876,Male,Public
Student_9,80.05575058716045,88.14744392557806,85.47838581990305,Female,Private
Student_10,85.40362888980228,87.97432845941535,61.51720778160573,Female,Private
Student_11,51.029224714790125,94.30369835477626,70.72383637037846,Male,Private
Student_12,98.49549260809971,86.45168714147471,51.64313628975699,Male,Private
Student_13,91.62213204002109,96.39050308238481,56.795369114634944,Male,Private
Student_14,60.61695553391381,66.63282999104457,65.98886445244499,Male,Private
Student_15,59.09124836035503,75.16047083757715,67.09929026439924,Male,Public
Student_16,59.17022549267169,50.70398316414453,94.9792608231048,Male,Public
Student_17,65.21211214797688,50.34787936516456,87.09064546332576,Male,Public
Student_18,76.2378215816119,62.00633102257599,98.60914840935206,Female,Public
Student_19,71.5972509321058,55.04035985695426,79.95357551676203,Female,Private
Student_20,64.5614570099021,63.01056839678768,62.0856866045659,Male,Public
Student_21,80.59264473611897,58.85216472641987,66.38275149608214,Male,Public
Student_22,56.97469303260209,51.42600124193241,65.99179616459836,Male,Public
Student_23,64.6072324267609,95.46520732030247,66.32471638316258,Male,Private
Student_24,68.31809216468459,50.41115656944458,83.64820865559079,Male,Public
Student_25,72.8034992108518,86.80410721685428,76.5403964045208,Male,Public
Student_26,89.25879806965068,57.60739434597583,69.27120890433221,Female,Public
Student_27,59.98368910791799,95.61148109998,57.45448843643583,Female,Public
Student_28,75.71172192068059,94.63979697949429,51.10695814710729,Female,Private
Student_29,79.62072844310212,82.69505731846286,60.94173387938463,Male,Private
Student_30,52.32252063599989,83.61170749003026,55.37357019843407,Female,Public
Student_31,80.37724259507192,50.266957098484426,89.27225154261197,Male,Public
Student_32,58.526206184364575,99.2435783056801,55.62489789069427,Female,Private
Student_33,53.25257964926398,93.89163017879072,86.2114118653418,Male,Private
Student_34,97.44427686266667,94.7553112865046,69.28293448880413,Female,Private
Student_35,98.28160165372796,82.9622268525436,53.6689194871888,Male,Private
Student_36,90.41986740582306,67.23934643272682,90.63650247157929,Female,Public
Student_37,65.23068845866854,94.68243245452405,78.98152851183067,Female,Private
Student_38,54.883605700319194,64.57584640755962,61.78807564317865,Female,Public
Student_39,84.21165132560785,78.13557716711014,94.7340587166334,Male,Private
Student_40,72.00762468698007,54.98654861719412,52.262915693527574,Male,Public
Student_41,56.10191174223894,96.09778150663752,60.09098040988815,Male,Private
Student_42,74.75884550556351,57.038522888560664,87.60234639029305,Male,Public
Student_43,51.71942605576092,61.244840286520365,85.46889651549446,Male,Private
Student_44,95.4660201039391,77.90670790641074,64.4635846862239,Female,Private
Student_45,62.93899908000085,88.20465001064908,53.101243767639154,Male,Public
Student_46,83.1261142176991,80.96756529681494,92.90390361124719,Male,Public
Student_47,65.58555380447055,61.60669564000781,65.68488190349512,Male,Private
Student_48,76.00340105889055,50.04715212637451,59.78567074641326,Female,Public
Student_49,77.33551396716399,87.85752901537197,75.80309111804885,Female,Public
Student_50,59.24272277627635,99.26036629555469,95.51135996412236,Female,Private
Student_51,98.47923138822793,90.49565601530452,52.17732889216877,Male,Private
